Company,Current_Ticker,Ticker_At_Start,Activist_Group,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Date_And_Time,Year,Month,Date,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return,Hp_Alpha,One_Year_Alpha,Follower_Alpha,Activist_Tactics
Jones Group Inc/NY,JNY US Equity,JNY US,Barington Capital Group LP,3: Break Up; Cost Cutting; Board Representation,13.92486,1.08E+09,2.3,Start: 2013-04-12. UTC: 2013-04-12T17:36:52.840Z,2013,4,12,Core Activist,24772168,5.869074,13.92486,7.6092,13.92486,-4.73835,-2.43656,-11.3892,Formal Notice for Proxy Fight
PMC Commercial Trust,CMCT US Equity,PCC US,Hoak Public Equities LP,4: Board Representation; Sale of Company; Strategic Review; Oppose Acquisition,23.17242,81116300,5.15,Start: 2013-04-16. UTC: 2013-04-16T12:57:01.000Z,2013,4,16,Secondary Focus,4177489,0.261097,36.37503,22.85165,7.290657,-18.8875,13.87172,-17.2045,
PepsiCo Inc,PEP US Equity,PEP US,Trian Fund Management LP,4: Strategic Review; Other (Acquisition of Mondelez International related); Break Up; Board Control,39.57922,1.27E+11,0.9,Start: 2013-04-19. UTC: 2013-04-19T10:51:36.206Z,2013,4,19,Core Activist,1.14E+09,1.870769,8.270254,37.01597,11.47977,-2.01552,-15.257,-3.33111,Letter to Company
BAB Inc,BABB US Equity,BABB US,JCP Investment Management LLC,Stake Only 13D: No Public Activism,34.76928,4576000,5.8,Start: 2013-04-25. UTC: 2013-04-25T20:37:06.000Z,2013,4,25,Core Activist,265408,6.349206,27.89794,26.72335,19.00363,2.17084,7.86395,-6.11387,
Oil States International Inc,OIS US Equity,OIS US,JANA Partners LLC,2: Break Up; Real Estate Separation,43.75559,4.21E+09,9.1,Start: 2013-04-29. UTC: 2013-04-29T21:24:03.000Z,2013,4,29,Core Activist,3.83E+08,16.74941,26.91403,23.13174,36.77663,17.60817,6.19215,-2.70151,
TriQuint Semiconductor Inc,TQNT US Equity,TQNT US,Starboard Value LP,4: Break Up; Cost Cutting; Board Control; Strategic Review,138.3212,8.82E+08,7.84,Start: 2013-04-29. UTC: 2013-04-29T21:26:42.000Z,2013,4,29,Core Activist,69117738,6.569343,158.7591,123.6301,138.3212,119.4325,138.0372,105.0375,Letter to Company; Formal Notice for Proxy Fight
Encore Capital Group Inc,ECPG US Equity,ECPG US,Red Mountain Capital Partners LLC,Discussions only,60.75816,6.61E+08,5.9,Start: 2013-04-30. UTC: 2013-04-30T21:10:56.000Z,2013,4,30,Former Core,38976940,0.2457,53.66795,60.36415,10.90576,-21.7446,33.25623,-23.845,
Lakeland Industries Inc,LAKE US Equity,LAKE US,Ancora Advisors LLC,Stake Only 13D: No Public Activism,229.7229,21168800,7.65,Start: 2013-05-01. UTC: 2013-05-01T18:43:26.000Z,2013,5,1,Core Activist,1619413,0,84.38287,229.7229,123.6573,202.883,63.97115,201.697,
Clearwire Corp,CLWR US Equity,CLWR US,"Glenview Capital Management LLC, Highside Capital Management LP, Mount Kellett Capital and Chesapeake Partners Management Co Inc/MD",5: Oppose Other Transaction (Oppose additional stake purchase by Sprint at current bid); Oppose Merger (Target); Sale of Company; Strategic Review; Break Up,54.87805,4.83E+09,18.2,Start: 2013-05-03. UTC: 2012-11-01T16:16:46.000Z,2013,5,3,Secondary Focus,4.17E+08,3.04878,52.13415,50.29586,54.87805,54.83897,48.2227,51.31053,Letter to Company
Crossroads Systems Inc,CRDSQ US Equity,CRDS US,Lone Star Value Management LLC,Stake Only 13D: 1 Board Seat Granted,-93.6665,26869800,5.6,Start: 2013-05-03. UTC: 2013-05-03T20:09:36.000Z,2013,5,3,Former Core,1504709,0,-11.4537,-93.6665,-46.4208,-166.995,-29.5827,-166.664,
Health Management Associates LLC,1996760D US Equity,HMA US,Glenview Capital Management LLC,6: Sale of Company; Strategic Review; Return Capital/Buybacks; Management Changes; Remove Poison Pill; Board Control,24.04473,2.76E+09,14.56,Start: 2013-05-06. UTC: 2013-05-06T20:44:17.000Z,2013,5,6,Secondary Focus,4.02E+08,3.261883,24.04473,20.12635,24.04473,11.64951,,8.32198,Formal Notice for Proxy Fight
Pacer International Inc,PACR US Equity,PACR US,Northern Right Capital Management LP,Discussions only,50.33557,2.09E+08,6.765,Start: 2013-05-06. UTC: 2013-05-06T21:17:21.000Z,2013,5,6,Former Core,14146467,7.214765,50.33557,40.21909,50.33557,32.29872,32.29872,22.80275,
Famous Dave's of America Inc,BBQ US Equity,DAVE US,Blue Clay Capital Management LLC,1: Board Representation,-21.749,87416100,5.86,Start: 2013-05-07. UTC: 2013-05-07T14:57:25.000Z,2013,5,7,Occasional Activist,5122583,0.688468,133.4768,-22.2841,-4.80203,-103.254,114.8606,-102.835,
tw telecom inc,TWTC US Equity,TWTC US,Corvex Management LP,2: Strategic Review; Sale of Company,57.33726,4.10E+09,5.77,Start: 2013-05-08. UTC: 2013-05-08T17:20:31.402Z,2013,5,8,Core Activist,2.37E+08,5.81096,9.562339,48.69656,35.76807,29.33417,-8.29795,21.27657,
Alere Inc,1986522D US Equity,ALR US,Coppersmith Capital Management LLC and Scopia Capital Management LP,5: Board Representation; Break Up; Strategic Review; Management Changes; Cost Cutting,18.95717,2.18E+09,5.8,Start: 2013-05-08. UTC: 2013-05-08T20:56:00.416Z,2013,5,8,Secondary Focus,1.27E+08,0.148976,30.05587,18.78022,18.95717,14.47777,12.53285,13.96293,Letter to Company; Formal Notice for Proxy Fight
RELM Wireless Corp,9876577D US Equity,RWC US,Privet Fund Management LLC,1: Remove Director/Withhold Votes,36.79662,36439100,6.3,Start: 2013-05-08. UTC: 2019-03-29T14:26:02.000Z,2013,5,8,Former Core,2295663,1.482273,17.83839,34.79853,12.73594,6.46142,-0.0219,5.05705,
Dell Inc,1683997D US Equity,DELL US,Icahn Enterprises LP and Southeastern Asset Management Inc,6: Oppose Merger (Target); Board Representation; Break Up; Board Control; Acquire Company; Strategic Review,5.285777,2.33E+10,13,Start: 2013-05-10. UTC: 2013-02-08T20:34:08.516Z,2013,5,10,Core Activist,3.03E+09,0.975976,5.285777,4.268145,5.285777,-4.67577,-4.67577,-5.21908,Activist Lawsuit; Letter to Company; Formal Notice for Proxy Fight
Calloway's Nursery Inc,CLWY US Equity,CLWY US,3K LP,1: Board Control,145.4545,6119200,18.4,Start: 2013-05-10. UTC: 2013-05-10T13:00:00.691Z,2013,5,10,Occasional Activist,1125933,1.136364,127.2727,142.6966,108.5195,121.2863,109.3696,119.064,Formal Notice for Proxy Fight; Call for Meeting
Dex Media Inc,DXMMQ US Equity,DXM US,Paulson & Co Inc,Stake Only 13D: No Public Activism,-99.9538,2.58E+08,10.9,Start: 2013-05-10. UTC: 2013-05-10T20:58:35.000Z,2013,5,10,Secondary Focus,28125379,3.038309,-34.4122,-99.9551,-90.8329,-142.231,-53.0247,-142.213,
First Advantage Bancorp,FABK US Equity,FABK US,PL Capital Advisors LLC,1: Return Capital/Buybacks,13.23233,50094600,5.9,Start: 2013-05-16. UTC: 2013-05-16T21:25:53.000Z,2013,5,16,Secondary Focus,2955581,5.603448,13.23233,7.224083,13.23233,-2.93152,,-7.7529,
NetApp Inc,NTAP US Equity,NTAP US,Elliott Investment Management LP,2: Board Representation; Return Capital/Buybacks,-8.38548,1.39E+10,0,Start: 2013-05-16. UTC: 2013-05-16T23:57:10.603Z,2013,5,16,Core Activist,0,-1.61206,-10.9886,-6.88439,-8.38548,-24.115,-27.1525,-21.4315,
Bravo Brio Restaurant Group Inc,BBRG US Equity,BBRG US,Red Mountain Capital Partners LLC,Discussions only,-24.6804,3.52E+08,5.8,Start: 2013-05-20. UTC: 2013-05-20T21:10:40.000Z,2013,5,20,Former Core,20430581,1.889939,-14.6192,-26.0775,-14.6513,-55.5167,-30.3268,-56.6853,
Radiant Logistics Inc,RLGT US Equity,RLGT US,ADW Capital Management LLC,2: Sale of Company; Strategic Review,54.04041,66029400,,Start: 2013-05-22. UTC: 2013-05-22T04:15:57.656Z,2013,5,22,Secondary Focus,,2.525253,54.04041,50.2463,54.04041,38.24603,38.24603,33.49953,
VIVUS Inc,VVUSQ US Equity,VVUS US,Sarissa Capital Management LP and First Manhattan Co Inc,5: Board Control; Cost Cutting; Strategic Review; Sale of Company; Management Changes,1.627219,1.36E+09,9.9,Start: 2013-05-23. UTC: 2013-01-18T14:22:16.000Z,2013,5,23,Core Activist,1.35E+08,7.248521,-65.6805,-5.24138,1.627219,-0.93561,-82.9249,-8.09029,Activist Lawsuit; Letter to Company; Formal Notice for Proxy Fight
SMTC Corp,SMTX US Equity,SMTX US,Wynnefield Capital Inc,Stake Only 13D: 1 Board Seat Granted,177.0642,35630400,5.3,Start: 2013-05-24. UTC: 2013-05-24T20:02:02.000Z,2013,5,24,Former Core,1888411,-2.75229,-19.2661,184.9057,13.86352,-7.9551,-37.4916,1.6877,
William Lyon Homes,WLH US Equity,WLH US,Luxor Capital Group LP,1: Board Representation,-31.8956,8.31E+08,31.1,Start: 2013-05-24. UTC: 2013-05-24T20:19:36.000Z,2013,5,24,Secondary Focus,2.27E+08,-0.68104,-1.09724,-31.4286,-14.2646,-65.253,,-63.9432,
Exa Corp,EXA US Equity,EXA US,Discovery Group I LLC,3: Sale of Company; Strategic Review; Declassify Board,26.93683,1.12E+08,5.3,Start: 2013-05-29. UTC: 2013-05-29T20:00:39.000Z,2013,5,29,Former Core,5919268,2.50298,18.95113,23.83721,11.51185,-4.86972,-0.2133,-7.46522,Letter to Company
Barnwell Industries Inc,BRN US Equity,BRN US,"Mrmp Managers LLC, NLS Advisory Group, and Bradley M Tirpak ""Brad""",11: Compensation Changes; Board Control; Return Capital/Buybacks; Management Changes; Break Up; Other (Change retirement policy); Independent Chair; Remove Director/Withhold Votes; Compensation Changes; Other (Freeze management pension plan); Board Control,-17.8456,27563100,10.9,Start: 2013-06-11. UTC: 2013-06-11T12:44:52.000Z,2013,6,11,Occasional Activist,3004378,6.006006,-7.50751,-22.5003,-1.90163,-251.364,-28.3281,-259.438,Formal Proposal (Non-Proxy Fight); Letter to Company; Formal Notice for Proxy Fight; Threaten Fight
Spectra Energy Corp,1539941D US Equity,SE-W US,Sandell Asset Management Corp,4: Strategic Review; Break Up; Cost Cutting; Board Representation,12.42643,2.25E+10,0.28,Start: 2013-06-12. UTC: 2013-06-12T20:22:21.555Z,2013,6,12,Former Core,63107904,1.187648,26.5776,11.10687,12.42643,-1.96275,3.96953,-1.59939,Threaten Fight; Letter to Company
Smithfield Foods Inc,SFD US Equity,SFD US,Starboard Value LP,2: Break Up; Oppose Merger (Target),3.567073,4.55E+09,5.7,Start: 2013-06-17. UTC: 2013-06-17T13:06:49.000Z,2013,6,17,Core Activist,2.59E+08,0.853659,3.567073,2.690447,3.567073,-1.46254,-1.46254,-1.54918,Letter to Company
Morgans Hotel Group Co LLC,MHGC US Equity,MHGC US,Kerrisdale Capital Management LLC,3: Sale of Company; Strategic Review; Board Control,-7.64163,2.46E+08,4.3,Start: 2013-06-20. UTC: 2013-06-20T13:00:06.996Z,2013,6,20,Occasional Activist,10580442,-0.79051,4.874835,-6.90571,-4.10047,-43.0247,-18.1712,-45.74,Letter to Company; Formal Notice for Proxy Fight
Quality Systems Inc,NXGN US Equity,QSII US,Clinton Group Inc/New York,1: Board Control,-9.14322,1.11E+09,0.1,Start: 2013-07-01. UTC: 2013-07-01T10:12:59.000Z,2013,7,1,Former Core,1114225,4.623196,-9.86475,-13.1581,-9.09574,-35.3682,-35.3115,-38.6899,Formal Notice for Proxy Fight
Emulex Corp,ELX US Equity,ELX US,Starboard Value LP,3: Cost Cutting; Board Representation; Compensation Changes,-3.40314,6.94E+08,6.9,Start: 2013-07-08. UTC: 2013-07-08T21:29:24.000Z,2013,7,8,Core Activist,47896778,2.879581,-29.0576,-6.10687,-3.40314,-13.2282,-51.8365,-15.1415,Letter to Company
Microsoft Corp,MSFT US Equity,MSFT US,ValueAct Capital Management LLC,2: Board Representation; Return Capital/Buybacks,63.43581,2.90E+11,0.8,Start: 2013-07-10. UTC: 2013-07-10T22:22:11.257Z,2013,7,10,Core Activist,2.32E+09,2.838617,24.87359,58.92456,23.36294,33.50964,3.31881,30.74869,
Chatham Lodging Trust,CLDT US Equity,CLDT US,HG Vora Capital Management LLC and Blue Mountain Capital Group LLC,3: Board Representation; Sale of Company; Strategic Review,31.80333,4.04E+08,9.8,Start: 2013-07-12. UTC: 2013-07-12T10:02:09.000Z,2013,7,12,Secondary Focus,39623860,3.768433,24.1841,27.01678,28.81984,12.42912,4.26685,8.00989,Formal Notice for Proxy Fight
Aerovironment Inc,AVAV US Equity,AVAV US,Engaged Capital LLC,3: Board Representation; Declassify Board; Remove Director/Withhold Votes,19.41889,4.67E+08,5.1,Start: 2013-07-17. UTC: 2013-07-17T10:05:55.000Z,2013,7,17,Core Activist,23816266,14.14044,60.14528,4.624523,5.717612,-18.6638,40.8662,-33.061,Letter to Company; Formal Notice for Proxy Fight
EI du Pont de Nemours & Co,1715651D US Equity,DD US,Trian Fund Management LP,3: Break Up; Cost Cutting; Board Representation,38.20208,5.27E+10,0.6,Start: 2013-07-17. UTC: 2013-07-17T21:31:25.713Z,2013,7,17,Core Activist,3.16E+08,0.384279,17.81405,37.67303,10.52595,0.43493,-2.34342,0.61065,Letter to Company; Formal Notice for Proxy Fight
TheStreet Inc,TST US Equity,TST US,Spear Point Capital Partners LLC and FiveT Capital AG,8: Strategic Review; Sale of Company; Break Up; Other (Explore business combinations); Other (Redemption of all or a portion of the outstanding Preferred Stock); Management Changes; Board Representation; Compensation Changes,-52.527,65732900,2,Start: 2013-07-23. UTC: 2013-07-23T18:14:38.950Z,2013,7,23,Occasional Activist,1314658,1.030928,26.0663,-53.0115,-18.8617,-100.512,6.42947,-101.271,Threaten Fight; Letter to Company
CF Industries Holdings Inc,CF US Equity,CF US,Third Point LLC,1: Return Capital/Buybacks,29.40904,1.07E+10,0.28,Start: 2013-07-29. UTC: 2013-07-29T19:34:57.083Z,2013,7,29,Core Activist,30047161,11.76796,43.04453,15.78367,29.40904,,24.15762,5.36194,
Sotheby's,BID US Equity,BID US,Marcato Capital Management LP,6: Return Capital/Buybacks; Real Estate Separation; Break Up; Support 3rd Party Activist; Return Capital/Buybacks; Other (Recruit New CFO),-0.84071,2.86E+09,6.61,Start: 2013-07-30. UTC: 2013-07-30T17:07:21.000Z,2013,7,30,Former Core,1.89E+08,4.195471,6.030758,-4.83339,-0.26484,-37.3128,-13.3227,-41.2496,Activist Lawsuit; Letter to Company
BRE Properties Inc,BRE US Equity,BRE US,Land & Buildings Investment Management LLC,4: Acquire Company; Strategic Review; Sale of Company; Board Control,20.59411,3.98E+09,0.25,Start: 2013-07-31. UTC: 2013-07-31T13:22:00.413Z,2013,7,31,Core Activist,9955381,2.690149,20.59411,17.43494,20.59411,7.12725,7.12725,3.96978,Letter to Company; Formal Notice for Proxy Fight
Air Products & Chemicals Inc,APD US Equity,APD US,Pershing Square Capital Management LP,Discussions only,61.98138,2.21E+10,9.8,Start: 2013-07-31. UTC: 2013-07-31T14:01:54.000Z,2013,7,31,Core Activist,2.17E+09,2.869046,28.1565,57.46367,13.55388,7.72348,11.23073,3.20808,
Eagle Capital Growth Fund Inc,GRF US Equity,GRF US,Ancora Advisors LLC,1: Realize NAV,18.85511,24375000,5.13,Start: 2013-08-01. UTC: 2013-08-01T19:48:33.000Z,2013,8,1,Core Activist,1250438,2.179487,16.09779,16.31993,18.85511,9.153916,-0.49199,7.988065,
Frequency Electronics Inc,FEIM US Equity,FEIM US,Privet Fund Management LLC,1: Board Control,-22.7017,90538900,6,Start: 2013-08-02. UTC: 2013-08-02T16:25:33.000Z,2013,8,2,Former Core,5432334,1.125704,7.410882,-23.5622,-5.1972,-96.8367,-7.72359,-97.4093,Letter to Company; Formal Notice for Proxy Fight
Optical Cable Corp,OCC US Equity,OCC US,InterTech Group Inc/The,Stake Only 13D: No Public Activism,29.90777,26596100,5.1,Start: 2013-08-05. UTC: 2013-08-05T16:28:22.000Z,2013,8,5,Secondary Focus,1356401,4.225352,-0.61082,24.64124,19.30728,9.18535,-15.2712,,
Mattress Firm Holding Corp,1964629D US Equity,MFRM US,Standard Investments LLC,1: Board Representation,53.01147,1.42E+09,5.29,Start: 2013-08-06. UTC: 2013-08-06T20:49:55.000Z,2013,8,6,Secondary Focus,74908453,-3.22658,13.62333,58.11311,14.64427,18.36545,-1.27544,22.99555,Letter to Company
Swiss Helvetia Fund Inc/The,SWZ US Equity,SWZ US,Bulldog Investors LLP,1: Realize NAV,15.35689,4.07E+08,5.5,Start: 2013-08-08. UTC: 2013-08-08T19:56:59.000Z,2013,8,8,Secondary Focus,22364263,0.456969,13.69708,14.83214,11.30145,-9.93637,-2.93652,-9.94773,
Amedisys Inc,AMED US Equity,AMED US,KKR & Co Inc,1: Board Representation,650.1368,4.70E+08,8.5,Start: 2013-08-08. UTC: 2013-08-08T20:53:23.000Z,2013,8,8,Occasional Activist,39991701,22.43502,45.55404,512.6816,46.85522,570.6211,29.39835,432.5562,
Steinway Musical Instruments Inc,LVB US Equity,LVB US,Paulson & Co Inc,1: Acquire Company,0.90932,4.97E+08,,Start: 2013-08-12. UTC: 2013-08-13T03:42:45.120Z,2013,8,12,Secondary Focus,,-3.33418,0.90932,4.389862,0.90932,-1.29296,,2.493215,Tender Offer; Unsolicited Bid; Hostile Bid
Apple Inc,AAPL US Equity,AAPL US,Icahn Enterprises LP,2: Return Capital/Buybacks; Return Capital/Buybacks,48.55279,4.25E+11,0.5,Start: 2013-08-13. UTC: 2013-08-13T19:42:46.067Z,2013,8,13,Core Activist,2.12E+09,4.752225,48.92995,41.81349,15.42514,18.95504,31.27719,12.6033,Letter to Company
Sotheby's,BID US Equity,BID US,Third Point LLC,4: Management Changes; Board Representation; Compensation Changes; Remove Poison Pill,39.80899,3.13E+09,5.7,Start: 2013-08-26. UTC: 2013-08-26T19:01:20.000Z,2013,8,26,Core Activist,1.79E+08,2.988656,0.824429,35.75183,5.643347,-56.8435,,-61.6958,Activist Lawsuit; Letter to Company; Formal Notice for Proxy Fight
Nuance Communications Inc,NUAN US Equity,NUAN US,Icahn Enterprises LP,Stake Only 13D: 2 Board Seats Granted,-12.6161,5.68E+09,16.9,Start: 2013-08-29. UTC: 2013-08-29T21:23:18.000Z,2013,8,29,Core Activist,9.60E+08,4.259967,-7.09995,-16.1865,-3.87961,-63.221,-31.9423,-67.2583,
Transcept Pharmaceuticals Inc,PRTK US Equity,TSPT US,Roumell Asset Management LLC and SC Fundamental LLC,8: Return Capital/Buybacks; Sale of Company; Oppose Merger (Target); Strategic Review; Remove Director/Withhold Votes; Remove Poison Pill; Cost Cutting; Board Representation,42.40487,51777300,12.3,Start: 2013-09-05. UTC: 2013-09-05T10:01:06.000Z,2013,9,5,Core Activist,6368608,1.811594,26.99979,39.87097,34.90102,16.12624,3.02699,13.74863,Letter to Company; Formal Notice for Proxy Fight; Call for Meeting
India Fund Inc/The,IFN US Equity,IFN US,City of London Investment Group PLC,1: Realize NAV,88.35082,7.03E+08,10,Start: 2013-09-05. UTC: 2013-09-05T12:02:53.000Z,2013,9,5,Secondary Focus,70284240,1.880342,63.88268,84.87455,52.22236,58.61271,39.90988,55.29701,Letter to Company
Chico's FAS Inc,CHS US Equity,CHS US,Blue Harbour Group LP,Discussions only,-14.2049,2.52E+09,5.6,Start: 2013-09-09. UTC: 2013-09-09T19:59:04.000Z,2013,9,9,Former Core,1.41E+08,3.065134,0.245433,-16.7564,-5.94747,-40.8439,-22.3863,-42.1355,
Astex Pharmaceuticals Inc,ASTX US Equity,ASTX US,Sarissa Capital Management LP,1: Oppose Merger (Target),-1.67824,8.20E+08,5,Start: 2013-09-11. UTC: 2013-09-11T16:23:38.715Z,2013,9,11,Core Activist,41015475,0.810185,-1.67824,-2.46843,-1.67824,-2.37991,-2.37991,-2.84985,
Fox Chase Bancorp Inc,FXCB US Equity,FXCB US,Seidman & Associates LLC,Stake Only 13D: No Public Activism,8.527472,2.03E+08,5.05,Start: 2013-09-12. UTC: 2013-09-12T14:35:10.000Z,2013,9,12,Core Activist,10271124,0.119403,5.50082,8.398042,4.601069,-17.2408,-14.5144,-17.761,
PLX Technology Inc,PLXT US Equity,PLXT US,Discovery Group I LLC,Stake Only 13D: No Public Activism,10.30664,2.67E+08,5.2,Start: 2013-09-13. UTC: 2013-09-13T20:14:49.000Z,2013,9,13,Former Core,13861188,0.170358,10.73254,10.11905,10.30664,-7.62642,-6.12234,-7.14592,
Aeropostale Inc,AROPQ US Equity,ARO US,Sycamore Partners LLC,Stake Only 13D: 2 Board Seats Granted,-97.7062,6.76E+08,7.96,Start: 2013-09-17. UTC: 2013-09-17T10:16:22.000Z,2013,9,17,Secondary Focus,53791475,18.11847,-56.3299,-98.058,-79.2928,-112.32,-76.68,-112.189,
Shengtai Pharmaceutical Inc,SGTI US Equity,SGTI US,"Charles Frischer ""Charlie"" and James Sight",2: Sale of Company; Strategic Review,-59.8998,3824400,4.5,Start: 2013-09-17. UTC: 2013-09-17T12:00:01.223Z,2013,9,17,Occasional Activist,172098,-2.25564,-59.8998,-58.9744,-59.8998,-80.2499,,-78.8172,Letter to Company
Safeway Inc,SWY US Equity,SWY US,JANA Partners LLC,3: Strategic Review; Return Capital/Buybacks; Other (Transferring stake in Blackhawk Network and increase transparency),21.92203,6.81E+09,6.2,Start: 2013-09-17. UTC: 2013-09-17T19:00:41.000Z,2013,9,17,Core Activist,4.22E+08,10.44618,40.31682,10.39045,21.92203,15.82358,19.96672,4.739211,
Emmaus Life Sciences Inc,9475831Z US Equity,EMMA US,Sarissa Capital Management LP,Stake Only 13D: 2 Board Seats Granted,,,5.8,Start: 2013-09-17. UTC: 2013-09-17T21:25:41.000Z,2013,9,17,Core Activist,,,,,,,,,
PHH Corp,PHH US Equity,PHH US,Orange Capital LLC,3: Return Capital/Buybacks; Strategic Review; Break Up,2.166224,1.29E+09,5,Start: 2013-09-19. UTC: 2013-09-19T19:20:39.000Z,2013,9,19,Former Core,64630485,8.090186,2.033599,-5.48057,2.166224,-13.6061,-16.9065,-21.4485,Letter to Company
Morgans Hotel Group Co,MHGC US Equity,MHGC US,Standard Investments LLC,Stake Only 13D: No Public Activism,18.83408,2.18E+08,5.38,Start: 2013-09-23. UTC: 2013-09-23T19:32:16.000Z,2013,9,23,Secondary Focus,11743561,0.597907,20.32885,18.12779,18.83408,10.61092,1.9596,,
Boise Inc,1890508D US Equity,BZ US,Carlson Capital LP,2: Break Up; Oppose Merger (Target),0.159744,1.26E+09,6.7,Start: 2013-09-24. UTC: 2013-09-24T10:00:47.000Z,2013,9,24,Secondary Focus,84624129,1.038339,0.159744,-0.86957,0.159744,-3.4013,-3.4013,-4.68959,Letter to Company
Bob Evans Farms Inc/DE,BOBE US Equity,BOBE US,Sandell Asset Management Corp,6: Break Up; Real Estate Separation; Return Capital/Buybacks; Board Control; Remove Poison Pill; Cost Cutting,25.12311,1.56E+09,5.1,Start: 2013-09-24. UTC: 2013-09-24T14:49:04.000Z,2013,9,24,Former Core,79323442,0.719046,-14.455,24.22984,6.578582,-24.334,-34.3185,-25.601,Threaten Fight; Letter to Company; Formal Notice for Proxy Fight; Activist Lawsuit
OBA Financial Services Inc,OBAF US Equity,OBAF US,Clover Partners LP,Discussions only,19.2348,79031800,5.3,Start: 2013-09-25. UTC: 2013-09-25T19:49:44.000Z,2013,9,25,Secondary Focus,4188685,-1.10063,19.2348,20.56174,19.2348,-1.64166,1.01436,-0.64291,
Given Imaging Ltd,GIVN US Equity,GIVN US,Discovery Group I LLC,3: Return Capital/Buybacks; Sale of Company; Strategic Review,55.0702,6.07E+08,3.7,Start: 2013-10-01. UTC: 2013-10-01T14:01:16.000Z,2013,10,1,Former Core,22460310,3.224129,55.90224,50.2267,55.0702,48.62789,45.2156,44.63611,Letter to Company
